	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000270800	1542.65220080366	-7.55547884189936	0.585032318597785	-12.9146349726601	3.722049498472e-38	7.77201155775939e-34
ENSG00000179344	246.525462462964	-5.15387760822774	0.614379648648213	-8.38875053815267	4.91336041097912e-17	5.12979393708275e-13
ENSG00000100368	120.827866325511	7.68427745382674	1.02675628862029	7.48403251968634	7.2076108313761e-14	5.01673739233214e-10
ENSG00000103569	157.354144700249	4.38733884420241	0.66534443643033	6.59408661736337	4.27881857701284e-11	2.23365026766513e-07
ENSG00000119535	577.811796753712	3.36035931759366	0.533985311153278	6.29298081315403	3.11426846152824e-10	1.30058079490342e-06
ENSG00000188404	138.925700850993	4.95389162707428	0.798741639956935	6.20212015908094	5.57075172031159e-10	1.93871444453044e-06
ENSG00000081237	179.810568319605	4.60965069329449	0.783850373151506	5.88077884655611	4.08340455548639e-09	1.06581963153889e-05
ENSG00000171049	33.0024718655429	8.52246237672469	1.44854006669894	5.88348404897522	4.01718827999652e-09	1.06581963153889e-05
ENSG00000221125	45.9336756796356	5.23981538759878	0.920314416722133	5.69350571108223	1.24457051224667e-08	2.88754187402474e-05
ENSG00000137642	202.122313492483	3.49718128179329	0.61889439646192	5.6506914617193	1.59803701411338e-08	3.33686108917015e-05
ENSG00000115165	27.8837947447957	8.27909239770816	1.49587113229392	5.53462943362787	3.11887042335755e-08	5.92046666455719e-05
ENSG00000257335	44.417280251038	6.26523557174276	1.16114831395297	5.3957237817567	6.82478714052532e-08	0.000118756983567758
ENSG00000163421	32.3987322280038	8.49482849071791	1.61318191797334	5.26588377669772	1.39516532413097e-07	0.000224095747178299
ENSG00000124731	169.578245202536	3.69393773191489	0.707193640154903	5.22337521460992	1.7569087632963e-07	0.000262042942045643
ENSG00000143226	161.849527287252	4.25110871810391	0.819303682396434	5.18868498878165	2.11784307682852e-07	0.000294817875248375
ENSG00000116701	158.656290383745	4.48546838471134	0.875689921813676	5.1222108111297	3.01974007979105e-07	0.000350306625589539
ENSG00000139132	198.928175369082	2.57437282865304	0.500751235207614	5.1410214247114	2.73248889689548e-07	0.000350306625589539
ENSG00000188933	48.9768426749825	8.12289801759943	1.58581370707948	5.12222714517898	3.01947843377393e-07	0.000350306625589539
ENSG00000123405	45.8954266686547	6.32510759863213	1.23855377392264	5.10684940113647	3.27574612607389e-07	0.00036000449925552
ENSG00000001617	90.7222283808443	-4.22925776664824	0.829967663511953	-5.09568981127822	3.47473671788894e-07	0.000362779887031195
